Company_name,Status_on_IPO_and_M&A,Category,Country,Headquarter,Date_found,Date_joined,Date_exited,Funding_in_USD,Funding_rounds,First_funding_round_date,Last_funding_round_date,Patents_Granted,Trademarks_Registered,Valuation_at_IPO,Money_Raised_at_IPO,No._of_employees,Female_founder,Years_to_be_Unicorn,Duration_between_founded_to_reaching_a_unicorn_list_in_days,Duration_between_unicorn_listed_date_and_exit_date_in_days,Duration_between_first_funding_round_and_last_funding_round_in_days,Duration_between_founded_to_reaching_ a_unicorn_list_in_months,Duration_between_unicorn_listed_date_and_exit_date_in_months,Duration_between_first_funding_round_and_last_funding_round_in_months,Duration_between_founded_to_reaching_a_unicorn_list_in_years,Duration_between_unicorn_listed_date_and_exit_date_in_years,Duration_between_first_funding_round_and_last_funding_round_in_years,Duration_between_founded_to_reaching_a_unicorn_list_in_quarters,Duration_between_unicorn_listed_date_and_exit_date_in_quarters,Duration_between_first_funding_round_and_last_funding_round_in_quarters,Status_target_variable
HomeLight,Private,Fintech,United States,"San Francisco, California, United States",01-01-2012,02-09-2021,,627500000,12,19-01-2012,02-09-2021,0,13,,,500,No,10,3532,,3514,116,,115,9,,9,29,0,29,No
Hotmart,Private,E-commerce & direct-to-consumer,Netherlands,"Amsterdam, Noord-Holland, The Netherlands",19-04-2011,17-03-2020,,127496388,5,04-08-2011,30-03-2021,0,0,,,1000,No,9,3255,,3526,106,,115,8,,9,27,0,27,No
JumpCloud,Private,Data management & analytics,United States,"Louisville, Colorado, United States",01-01-2012,13-09-2021,,416717501,12,11-12-2012,19-10-2021,12,12,,,500,No,10,3543,,3234,116,,106,9,,8,29,0,20,No
Konfio,Private,Fintech,Mexico,"Mexico City, Distrito Federal, Mexico",01-04-2013,29-09-2021,,695966075,11,01-12-2014,29-09-2021,,,,,500,No,9,3103,,2494,101,,81,8,,6,25,0,13,No
Mammoth Biosciences,Private,Health,United States,"San Francisco, California, United States",01-01-2017,09-09-2021,,264545000,7,31-05-2017,09-09-2021,20,3,,,250,No,5,1712,,1562,56,,51,4,,4,14,0,10,No
Marshmallow,Private,Fintech,United Kingdom,"London, England, United Kingdom",01-05-2017,08-09-2021,,116200000,4,07-06-2018,07-09-2021,,,,,250,Yes,5,1591,,1188,52,,39,4,,3,13,0,14,No
Matillion,Private,Data management & analytics,United Kingdom,"Manchester, Manchester, United Kingdom",01-01-2011,15-09-2021,,310308117,5,29-11-2016,15-09-2021,0,2,,,250,No,11,3910,,1751,128,,57,10,,4,32,0,9,No
Mobile Premier League,Private,Internet software & services,India,"Bengaluru, Karnataka, India",01-09-2018,15-09-2021,,375500000,5,08-11-2018,15-09-2021,,,,,500,No,4,1110,,1042,36,,34,3,,2,9,0,17,No
News Break/ NewsBreak,Private,Internet software & services,United States,"Mountain View, California, United States",01-01-2015,07-01-2021,,151400080,5,29-05-2015,07-01-2021,7,6,,,200,No,7,2198,,2050,72,,67,6,,5,18,0,3,No
Nexii,Private,Other,Canada,"Vancouver, British Columbia, Canada",01-01-2019,08-09-2021,,85000000,3,23-10-2020,13-09-2021,9,2,,,500,No,3,981,,325,32,,10,2,,0,8,0,20,No
Ninja Van,Private,"Supply chain, logistics, & delivery",Singapore,"Singapore, Central Region, Singapore",01-01-2014,27-09-2021,,974500000,6,02-03-2015,26-09-2021,0,1,,,5000,No,8,2826,,2400,92,,78,7,,6,23,0,22,No
Opentrons,Private,Hardware,United States,"Brooklyn, New York, United States",01-01-2013,23-09-2021,,240034056,8,14-07-2014,23-09-2021,,,,,500,No,9,3187,,2628,104,,86,8,,7,26,0,10,No
Orchard,Private,Fintech,United States,"New York, New York, United States",01-09-2017,09-09-2021,,472000000,9,10-05-2018,09-09-2021,0,3,,,1000,No,5,1469,,1218,48,,39,4,,3,12,0,25,No
PandaDoc,Private,Internet software & services,United States,"San Francisco, California, United States",01-01-2011,22-09-2021,,51055000,7,09-05-2013,22-09-2021,0,2,,,1000,No,11,3917,,3058,128,,100,10,,8,32,0,8,No
Rebellion Defense,Private,Artificial intelligence,United States,"Washington, District of Columbia, United States",01-01-2019,16-09-2021,,150000000,2,01-01-2019,16-09-2021,,,,,250,No,3,989,,989,32,,32,2,,2,8,0,13,No
Spring Health,Private,Health,United States,"New York, New York, United States",01-01-2016,16-09-2021,,295500000,6,10-04-2017,16-09-2021,0,0,,,500,Yes,6,2085,,1620,68,,53,5,,4,17,0,10,No
STORD,Private,"Supply chain, logistics, & delivery",United States,"Atlanta, Georgia, United States",01-10-2015,13-09-2021,,205039990,5,18-04-2018,14-09-2021,,,,,1000,Yes,6,2174,,1245,71,,40,5,,3,18,0,14,No
TrueLayer,Private,Fintech,United Kingdom,"London, England, United Kingdom",01-01-2016,21-09-2021,,271484591,8,14-02-2017,21-09-2021,0,4,,,500,No,6,2090,,1680,68,,55,5,,4,17,0,16,No
Varo Bank,Private,Fintech,United States,"San Francisco, California, United States",01-11-2015,09-09-2021,,992400000,8,02-05-2016,09-09-2021,0,4,,,1000,No,6,2139,,1956,70,,64,5,,5,18,0,25,No
Vedantu,Private,Edtech,India,"Bangalore, Karnataka, India",29-10-2011,29-09-2021,,290886532,10,15-07-2013,29-09-2021,1,0,,,1000,No,10,3623,,2998,119,,98,9,,8,30,0,0,No
Wave/ Wave Mobile Money,Private,Fintech,Senegal,"Dakar, Dakar, Senegal",01-02-2018,07-09-2021,,200000000,1,07-09-2021,07-09-2021,,,,,1000,No,4,1314,,0,43,,0,3,,0,11,0,5,No
Whatnot,Private,E-commerce & direct-to-consumer,United States,"Marina Del Rey, California, United States",01-12-2019,16-09-2021,,224700000,6,05-02-2020,15-09-2021,,,,,50,No,2,655,,588,21,,19,1,,1,5,0,19,No
Xendit,Private,Fintech,Indonesia,"Jakarta, Jakarta Raya, Indonesia",01-01-2014,14-09-2021,,214720000,6,01-06-2015,14-09-2021,,,,,1000,No,8,2813,,2297,92,,75,7,,6,23,0,5,No
Zihaiguo,Private,Consumer & retail,China,"Banan, Chongqing, China",24-08-2017,06-05-2021,,79632546,3,01-10-2019,07-05-2021,,,,,50,Yes,4,1351,,584,44,,19,3,,1,11,0,6,No
EQRx,Private,Health,United States,"Cambridge, Massachusetts, United States",01-01-2019,11-01-2021,,1900000000,2,12-01-2020,17-12-2021,0,1,3650000000,552000000,500,No,3,741,,705,24,,23,2,,1,6,0,8,No
Forte Labs/ Forte,Private,Fintech,United States,"San Francisco, California, United States",01-02-2019,12-05-2021,,910000000,4,12-03-2019,12-11-2021,0,3,,,250,Yes,3,831,,976,27,,32,2,,2,7,0,13,No
Hailo,Private,Artificial intelligence,Israel,"Tel Aviv, Tel Aviv, Israel",02-02-2017,23-06-2021,,223931287,6,05-06-2017,12-10-2021,7,0,,,,No,5,1602,,1590,52,,52,4,,4,13,0,7,No
Sorare,Private,E-commerce & direct-to-consumer,France,"Paris, Ile-de-France, France",01-12-2018,21-09-2021,,739404620,5,21-05-2019,20-09-2021,,,,,50,No,3,1025,,853,33,,27,2,,2,8,0,17,No
Uala/ UalÃ¡,Acquired,Fintech,Argentina,"Buenos Aires, Distrito Federal, Argentina",04-10-2017,13-08-2021,,22408656,7,11-10-2013,28-05-2019,0,1,,,50,No,4,1409,,2055,46,,67,3,,5,12,0,11,Yes
Newlink Group/ Newlinks Technology,Private,E-commerce & direct-to-consumer,China,"Beijing, Beijing, China",01-01-2016,10-07-2020,,645148064,10,04-05-2018,27-01-2022,,,,,50,No,5,1652,,1364,54,,44,4,,3,14,0,13,No
Acko General Insurance/ Acko,Private,Fintech,India,"Mumbai, Maharashtra, India",01-01-2016,18-10-2021,,458000000,6,23-05-2017,27-10-2021,,,,,500,Yes,6,2117,,1618,69,,53,5,,4,17,0,13,No
Aiven,Private,Internet software & services,Finland,"Helsinki, Southern Finland, Finland",01-01-2016,18-10-2021,,210000000,5,22-06-2017,19-10-2021,0,5,,,500,Yes,6,2117,,1580,69,,51,5,,4,17,0,9,No
Ajaib,Private,Fintech,Indonesia,"Jakarta, Jakarta Raya, Indonesia",01-01-2018,04-10-2021,,245100000,5,22-08-2018,04-10-2021,,,,,250,No,4,1372,,1139,45,,37,3,,3,11,0,8,No
Alchemy,Private,Fintech,United States,"San Francisco, California, United States",01-08-2017,28-10-2021,,563903667,5,17-04-2019,08-02-2022,19,136,,,100,Yes,5,1549,,1028,50,,33,4,,2,13,0,21,No
Augury,Private,Artificial intelligence,United States,"New York, New York, United States",01-08-2011,26-10-2021,,294000000,7,06-10-2014,26-10-2021,,,,,250,No,11,3739,,2577,122,,84,10,,7,31,0,11,No
Celsius Network,Private,Fintech,United States,"London, England, United Kingdom",01-01-2017,12-10-2021,,843800000,7,26-03-2018,24-11-2021,0,13,,,500,No,5,1745,,1339,57,,43,4,,3,14,0,18,No
Chronosphere,Private,Data management & analytics,United States,"New York, New York, United States",01-01-2019,07-10-2021,,254400000,3,05-11-2015,07-10-2021,0,1,,,250,No,3,1010,,2163,33,,71,2,,5,8,0,0,No
ClickHouse,Private,Data management & analytics,United States,"Portola Valley, California, United States",11-08-2021,28-10-2021,,300000000,2,20-09-2021,28-10-2021,,,,,50,No,1,78,,38,2,,1,0,,0,1,0,11,No
CoinList,Private,Fintech,United States,"San Francisco, California, United States",01-01-2017,15-10-2021,,119200000,3,05-04-2018,26-10-2021,,,,,50,No,5,1748,,1300,57,,42,4,,3,14,0,11,No
CoinSwitch Kuber,Private,Fintech,India,"Bangalore, Karnataka, India",14-06-2017,06-10-2021,,300603815,4,24-03-2018,06-10-2021,,,,,250,No,5,1575,,1292,51,,42,4,,3,13,0,24,No
Dental Monitoring,Private,Health,France,"Paris, Ile-de-France, France",01-01-2013,21-10-2021,,232400441,5,01-09-2013,21-10-2021,41,15,,,500,No,9,3215,,2972,105,,97,8,,8,26,0,16,No
Devo,Private,Data management & analytics,United States,"Cambridge, Massachusetts, United States",01-05-2011,26-10-2021,,381000000,6,03-05-2016,26-10-2021,0,0,,,500,No,11,3831,,2002,125,,65,10,,5,31,0,16,No
Dragos,Private,Cybersecurity,United States,"Hanover, Maryland, United States",01-04-2016,28-10-2021,,364200000,8,05-05-2016,28-10-2021,0,8,,,500,No,6,2036,,2002,66,,65,5,,5,17,0,4,No
Elemy,Private,Health,United States,"Miami, Florida, United States",01-01-2019,06-10-2021,,323000000,3,21-07-2020,06-10-2021,,,,,1000,No,3,1009,,442,33,,14,2,,1,8,0,13,No
Enpal,Private,Internet software & services,Germany,"Berlin, Berlin, Germany",01-02-2017,18-10-2021,,708913653,10,25-07-2017,17-10-2021,,,,,500,No,5,1720,,1545,56,,50,4,,4,14,0,19,No
Fabric,Private,"Supply chain, logistics, & delivery",United States,"New York, New York, United States",01-01-2015,26-10-2021,,336000000,5,30-06-2015,26-10-2021,5,0,,,500,No,7,2490,,2310,81,,75,6,,6,20,0,19,No
Flock Freight,Private,"Supply chain, logistics, & delivery",United States,"Solana Beach, California, United States",01-02-2015,20-10-2021,,399000000,7,01-05-2015,20-10-2021,0,3,,,500,No,7,2453,,2364,80,,77,6,,6,20,0,20,No
GrubMarket,Private,E-commerce & direct-to-consumer,United States,"San Francisco, California, United States",01-05-2014,14-09-2021,,382100000,7,27-01-2015,16-11-2021,0,7,,,50,No,8,2693,,2485,88,,81,7,,6,22,0,18,No
Hibob,Private,Internet software & services,Israel,"Tel Aviv, Tel Aviv, Israel",01-01-2015,12-10-2021,,274000000,8,16-11-2015,12-10-2021,0,3,,,500,No,7,2476,,2157,81,,70,6,,5,20,0,20,No
Honor Technology/ Honor,Private,Internet software & services,United States,"Concord, California, United States",01-08-2014,05-10-2021,,625000000,6,02-04-2015,05-10-2021,3,6,,,,No,8,2622,,2378,86,,78,7,,6,22,0,18,No
Karat,Private,Internet software & services,United States,"Seattle, Washington, United States",25-03-2014,13-10-2021,,169100000,5,04-11-2015,13-10-2021,0,2,,,500,Yes,8,2759,,2170,90,,71,7,,5,23,0,18,No
Licious,Private,E-commerce & direct-to-consumer,India,"Bengaluru, Karnataka, India",01-01-2015,05-10-2021,,530500000,8,24-09-2015,06-10-2021,,,,,5000,No,7,2469,,2204,81,,72,6,,6,20,0,0,No
Masterworks,Private,Fintech,United States,"New York, New York, United States",01-09-2017,05-10-2021,,110000000,1,05-10-2021,05-10-2021,0,0,,,100,No,5,1495,,0,49,,0,4,,0,12,0,18,No
Medable,Private,Internet software & services,United States,"Palo Alto, California, United States",01-01-2015,26-10-2021,,506638069,8,17-12-2015,26-10-2021,2,4,,,500,No,7,2490,,2140,81,,70,6,,5,20,0,9,No
Modern Treasury,Private,Fintech,United States,"San Francisco, California, United States",01-06-2018,06-10-2021,,133000000,4,22-08-2018,06-10-2021,0,1,,,50,Yes,4,1223,,1141,40,,37,3,,3,10,0,3,No
Pattern,Private,Internet software & services,United States,"Lehi, Utah, United States",01-01-2013,06-10-2021,,277000000,2,11-08-2020,06-10-2021,1,6,,,1000,No,9,3200,,421,105,,13,8,,1,26,0,9,No
Rebel Foods,Private,E-commerce & direct-to-consumer,India,"Pune, Maharashtra, India",01-01-2011,07-10-2021,,534517794,23,11-01-2019,26-11-2021,3,12,,,10000,Yes,11,3932,,1050,129,,34,10,,2,32,0,6,No
Sky Mavis,Private,Internet software & services,Vietnam,"Ho Chi Minh City, NA - Vietnam, Vietnam",24-04-2019,04-10-2021,,161000000,3,08-11-2019,05-10-2021,,,,,50,No,3,894,,697,29,,22,2,,1,7,0,12,No
Solo.io,Private,Internet software & services,United States,"Cambridge, Massachusetts, United States",01-09-2017,07-10-2021,,171500000,5,28-09-2017,07-10-2021,0,1,,,250,No,5,1497,,1470,49,,48,4,,4,12,0,11,No
SonderMind,Private,Health,United States,"Denver, Colorado, United States",01-01-2014,28-07-2021,,183035000,5,30-12-2017,28-07-2021,1,2,,,500,Yes,8,2765,,1306,90,,42,7,,3,23,0,10,No
Swile,Private,Fintech,France,"Paris, Ile-de-France, France",01-01-2018,11-10-2021,,325880034,4,29-05-2018,11-10-2021,0,2,,,500,No,4,1379,,1231,45,,40,3,,3,11,0,9,No
Tier Mobility,Private,Travel,Germany,"Berlin, Berlin, Germany",01-07-2018,25-10-2021,,646934882,7,15-10-2018,25-10-2021,0,7,,,1000,No,4,1212,,1106,39,,36,3,,3,10,0,25,No
TradingView,Private,Fintech,United States,"London, England, United Kingdom",01-09-2011,14-10-2021,,338752500,7,31-05-2013,14-10-2021,,,,,500,No,11,3696,,3058,121,,100,10,,8,30,0,12,No
TrialSpark,Private,Health,United States,"New York, New York, United States",01-06-2014,30-09-2021,,156000000,3,28-09-2017,30-09-2021,0,4,,,250,No,8,2678,,1463,87,,48,7,,4,22,0,14,No
Truepill,Private,Health,United States,"San Mateo, California, United States",01-01-2016,27-10-2021,,255400000,7,01-01-2017,27-10-2021,0,1,,,500,No,6,2126,,1760,69,,57,5,,4,17,0,21,No
VideoAmp,Private,Internet software & services,United States,"Los Angeles, California, United States",01-06-2014,21-10-2021,,456600000,6,12-12-2014,21-10-2021,7,5,,,500,No,8,2699,,2505,88,,82,7,,6,22,0,6,No
Vuori,Private,E-commerce & direct-to-consumer,United States,"Encinitas, California, United States",01-01-2013,13-10-2021,,445000000,2,15-08-2019,13-10-2021,0,44,,,250,No,9,3207,,790,105,,25,8,,2,26,0,17,No
YugaByte,Private,Data management & analytics,United States,"Sunnyvale, California, United States",01-02-2016,28-10-2021,,291000000,5,10-02-2016,28-10-2021,3,4,,,500,No,6,2096,,2087,68,,68,5,,5,17,0,0,No
